"timestamp","table","data_element_n","data_element","domain_code","note"
"2024-11-27 14:19:55","CHILD","1 of 35","ALF_E","2","AUTO CATEGORISED"
"2024-11-27 14:19:55","CHILD","2 of 35","ALF_MTCH_PCT","2","AUTO CATEGORISED"
"2024-11-27 14:19:55","CHILD","3 of 35","ALF_STS_CD","2","AUTO CATEGORISED"
"2024-11-27 14:19:55","CHILD","4 of 35","APGAR_1","7",""
"2024-11-27 14:19:55","CHILD","5 of 35","APGAR_2","7",""
"2024-11-27 14:19:55","CHILD","6 of 35","AVAIL_FROM_DT","1","AUTO CATEGORISED"
"2024-11-27 14:19:55","CHILD","7 of 35","BIRTH_ORDER","7","10% missingess"
"2024-11-27 14:19:55","CHILD","8 of 35","BIRTH_TM","1","20% missingess"
"2024-11-27 14:19:55","CHILD","8 of 35","BIRTH_TM","7","20% missingess"
"2024-11-27 14:19:55","CHILD","9 of 35","BIRTH_WEIGHT","7",""
"2024-11-27 14:19:55","CHILD","10 of 35","BIRTH_WEIGHT_DEC","7",""
"2024-11-27 14:19:55","CHILD","11 of 35","BREASTFEED_8_WKS_FLG","7",""
"2024-11-27 14:19:55","CHILD","12 of 35","BREASTFEED_BIRTH_FLG","7",""
"2024-11-27 14:19:55","CHILD","13 of 35","CHILD_ID_E","2",""
"2024-11-27 14:19:55","CHILD","14 of 35","CURR_LHB_CD_BIRTH","5","Place of birth"
"2024-11-27 14:19:55","CHILD","14 of 35","CURR_LHB_CD_BIRTH","7","Place of birth"
"2024-11-27 14:19:55","CHILD","15 of 35","DEL_CD","7",""
"2024-11-27 14:19:55","CHILD","16 of 35","DOD","3",""
"2024-11-27 14:19:55","CHILD","16 of 35","DOD","7",""
"2024-11-27 14:19:55","CHILD","17 of 35","ETHNIC_GRP_CD","3",""
"2024-11-27 14:19:55","CHILD","18 of 35","GEST_AGE","3",""
"2024-11-27 14:19:55","CHILD","18 of 35","GEST_AGE","7",""
"2024-11-27 14:19:55","CHILD","19 of 35","GNDR_CD","3","AUTO CATEGORISED"
"2024-11-27 14:19:55","CHILD","20 of 35","HEALTH_VISITOR_CD_E","2",""
